transaction_id,amount_inr,is_fraud,score,decision,reason_codes
txn_3496645,9499.599731445312,0,0.0028625954198473282,APPROVE,purchaser email domain risk signal | aggregate risk feature (V29) elevated | aggregate risk feature (V130) elevated
txn_3535576,5099.600067138672,0,0.005319148936170213,APPROVE,billing/shipping distance unusual | card type (debit/credit) risk signal | card5 contributed to risk
txn_3505624,10296.0,0,0.004826060727930827,APPROVE,time-since-previous-activity signal (D2) unusual | purchaser email domain risk signal | aggregate risk feature (V70) elevated
txn_3497830,8536.0,0,0.004826060727930827,APPROVE,velocity/count signal (C9) elevated | velocity/count signal (C1) elevated | aggregate risk feature (V136) elevated
txn_3487569,3432.0,0,0.022616136919315404,APPROVE,card2 contributed to risk | identity match flag (M5) inconsistent | velocity/count signal (C13) elevated
txn_3494532,5187.600067138672,0,0.004826060727930827,APPROVE,velocity/count signal (C1) elevated | velocity/count signal (C11) elevated | time-since-previous-activity signal (D15) unusual
txn_3513412,2991.8240966796875,1,0.9,BLOCK,velocity/count signal (C1) elevated | aggregate risk feature (V258) elevated | time-since-previous-activity signal (D14) unusual
txn_3542820,3168.0,0,0.008030488634816932,APPROVE,velocity/count signal (C6) elevated | aggregate risk feature (V70) elevated | identity match flag (M3) inconsistent
txn_3489365,5192.0,0,0.004474861805738351,APPROVE,velocity/count signal (C1) elevated | velocity/count signal (C2) elevated | velocity/count signal (C11) elevated
txn_3482280,2905.3199462890625,0,0.0028625954198473282,APPROVE,card type (debit/credit) risk signal | velocity/count signal (C13) elevated | id_14 contributed to risk
txn_3548965,573.4960174560547,1,0.5267857142857142,BLOCK,velocity/count signal (C1) elevated | aggregate risk feature (V258) elevated | velocity/count signal (C12) elevated
txn_3539348,4219.600067138672,0,0.0028625954198473282,APPROVE,velocity/count signal (C6) elevated | velocity/count signal (C11) elevated | velocity/count signal (C9) elevated
txn_3483049,2283.600067138672,1,0.0028625954198473282,APPROVE,velocity/count signal (C1) elevated | velocity/count signal (C6) elevated | card1 contributed to risk
txn_3563792,1601.4239959716797,1,0.5267857142857142,BLOCK,velocity/count signal (C14) elevated | velocity/count signal (C13) elevated | aggregate risk feature (V258) elevated
txn_3504555,15048.0,0,0.014556962025316455,APPROVE,transaction amount unusual for this profile | purchaser email domain risk signal | time-since-previous-activity signal (D10) unusual
txn_3491099,6336.0,0,0.0028625954198473282,APPROVE,aggregate risk feature (V311) elevated | aggregate risk feature (V62) elevated | aggregate risk feature (V309) elevated
txn_3521161,4312.0,0,0.024603836530442035,APPROVE,card1 contributed to risk | purchaser email domain risk signal | identity match flag (M6) inconsistent
txn_3571313,9548.0,0,0.004826060727930827,APPROVE,velocity/count signal (C13) elevated | aggregate risk feature (V70) elevated | identity match flag (M5) inconsistent
txn_3558520,3163.600067138672,0,0.004474861805738351,APPROVE,velocity/count signal (C13) elevated | card2 contributed to risk | purchaser email domain risk signal
txn_3559491,24640.0,0,0.008030488634816932,APPROVE,transaction amount unusual for this profile | time-since-previous-activity signal (D2) unusual | aggregate risk feature (V136) elevated
txn_3487062,2283.600067138672,0,0.0028625954198473282,APPROVE,velocity/count signal (C1) elevated | aggregate risk feature (V294) elevated | velocity/count signal (C6) elevated
txn_3510458,2283.600067138672,0,0.0028625954198473282,APPROVE,purchaser email domain risk signal | card type (debit/credit) risk signal | velocity/count signal (C1) elevated
txn_3565807,2723.600067138672,0,0.0028625954198473282,APPROVE,billing address risk signal | velocity/count signal (C13) elevated | velocity/count signal (C1) elevated
txn_3544844,29480.0,0,0.004826060727930827,APPROVE,transaction amount unusual for this profile | aggregate risk feature (V82) elevated | time-since-previous-activity signal (D2) unusual
txn_3567035,12408.0,0,0.022616136919315404,APPROVE,transaction amount unusual for this profile | velocity/count signal (C13) elevated | identity match flag (M5) inconsistent
txn_3460726,4400.0,0,0.008030488634816932,APPROVE,operating system risk signal | aggregate risk feature (V294) elevated | card type (debit/credit) risk signal
txn_3541670,31944.0,1,0.5267857142857142,BLOCK,transaction amount unusual for this profile | aggregate risk feature (V281) elevated | aggregate risk feature (V294) elevated
txn_3465390,18832.0,0,0.022616136919315404,APPROVE,aggregate risk feature (V294) elevated | velocity/count signal (C1) elevated | card type (debit/credit) risk signal
txn_3518858,3432.0,1,0.011466505733252867,APPROVE,identity match flag (M5) inconsistent | aggregate risk feature (V294) elevated | velocity/count signal (C6) elevated
txn_3474663,2992.0,0,0.0028625954198473282,APPROVE,velocity/count signal (C13) elevated | aggregate risk feature (V70) elevated | card2 contributed to risk
txn_3478846,8800.0,0,0.0032074126870990736,APPROVE,aggregate risk feature (V258) elevated | card type (debit/credit) risk signal | id_11 contributed to risk
txn_3533820,29480.0,0,0.01620491374803973,APPROVE,transaction amount unusual for this profile | card2 contributed to risk | time-since-previous-activity signal (D10) unusual
txn_3564752,2640.0,1,0.024603836530442035,APPROVE,velocity/count signal (C8) elevated | aggregate risk feature (V294) elevated | velocity/count signal (C1) elevated
txn_3555358,2992.0,1,0.7831325301204819,BLOCK,velocity/count signal (C1) elevated | time-since-previous-activity signal (D4) unusual | billing/shipping distance unusual
txn_3496392,7119.903747558594,0,0.022616136919315404,APPROVE,card type (debit/credit) risk signal | velocity/count signal (C13) elevated | purchaser email domain risk signal
txn_3552300,5099.600067138672,0,1e-06,APPROVE,velocity/count signal (C1) elevated | velocity/count signal (C11) elevated | velocity/count signal (C5) elevated
txn_3510650,4840.0,1,0.01620491374803973,APPROVE,velocity/count signal (C8) elevated | velocity/count signal (C11) elevated | time-since-previous-activity signal (D2) unusual
txn_3524545,1926.055923461914,1,0.008030488634816932,APPROVE,browser risk signal | aggregate risk feature (V258) elevated | recipient email domain risk signal
txn_3526334,16715.599731445312,0,0.0028625954198473282,APPROVE,transaction amount unusual for this profile | card2 contributed to risk | time-since-previous-activity signal (D10) unusual
txn_3512125,2552.0,0,0.0028625954198473282,APPROVE,velocity/count signal (C6) elevated | aggregate risk feature (V54) elevated | card2 contributed to risk
txn_3488414,3163.600067138672,0,0.0028625954198473282,APPROVE,velocity/count signal (C1) elevated | velocity/count signal (C11) elevated | velocity/count signal (C2) elevated
txn_3507012,13200.0,1,0.2807017543859649,BLOCK,transaction amount unusual for this profile | velocity/count signal (C14) elevated | velocity/count signal (C13) elevated
txn_3507769,7788.880187988281,0,0.0028625954198473282,APPROVE,velocity/count signal (C1) elevated | velocity/count signal (C11) elevated | velocity/count signal (C2) elevated
txn_3509265,4312.0,0,0.0028625954198473282,APPROVE,card type (debit/credit) risk signal | velocity/count signal (C6) elevated | aggregate risk feature (V70) elevated
txn_3474628,10296.0,1,0.06026785714285715,APPROVE,velocity/count signal (C13) elevated | velocity/count signal (C14) elevated | purchaser email domain risk signal
txn_3474693,26400.0,0,0.11591962905718702,REVIEW,browser risk signal | transaction amount unusual for this profile | velocity/count signal (C13) elevated
txn_3577242,27451.60107421875,0,0.022616136919315404,APPROVE,transaction amount unusual for this profile | time-since-previous-activity signal (D10) unusual | card1 contributed to risk
txn_3558325,9499.599731445312,0,0.0028625954198473282,APPROVE,identity match flag (M6) inconsistent | velocity/count signal (C13) elevated | transaction amount unusual for this profile
txn_3467736,19536.0,1,0.04038461538461539,APPROVE,aggregate risk feature (V294) elevated | aggregate risk feature (V317) elevated | transaction amount unusual for this profile
txn_3522403,1677.1920013427734,1,0.78,BLOCK,velocity/count signal (C14) elevated | aggregate risk feature (V258) elevated | recipient email domain risk signal
txn_3569361,6776.0,0,0.011466505733252867,APPROVE,time-since-previous-activity signal (D10) unusual | aggregate risk feature (V294) elevated | card1 contributed to risk
txn_3547032,8800.0,0,0.0028625954198473282,APPROVE,id_20 contributed to risk | velocity/count signal (C13) elevated | card type (debit/credit) risk signal
txn_3554410,11875.599731445312,0,0.004826060727930827,APPROVE,time-since-previous-activity signal (D10) unusual | transaction amount unusual for this profile | card5 contributed to risk
txn_3557564,5979.5997314453125,0,0.0028625954198473282,APPROVE,card1 contributed to risk | purchaser email domain risk signal | billing address risk signal
txn_3521959,4400.0,0,0.0028625954198473282,APPROVE,card type (debit/credit) risk signal | velocity/count signal (C13) elevated | time-since-previous-activity signal (D1) unusual
txn_3571932,13200.0,0,0.11591962905718702,REVIEW,aggregate risk feature (V258) elevated | transaction amount unusual for this profile | velocity/count signal (C13) elevated
txn_3483879,1931.6000671386719,0,0.004474861805738351,APPROVE,velocity/count signal (C11) elevated | time-since-previous-activity signal (D10) unusual | velocity/count signal (C13) elevated
txn_3553791,3036.0,0,0.022616136919315404,APPROVE,velocity/count signal (C13) elevated | identity match flag (M5) inconsistent | aggregate risk feature (V70) elevated
txn_3547514,5192.0,0,0.008030488634816932,APPROVE,time-since-previous-activity signal (D2) unusual | velocity/count signal (C1) elevated | aggregate risk feature (V70) elevated
txn_3489719,4747.600067138672,0,0.0032074126870990736,APPROVE,velocity/count signal (C1) elevated | card2 contributed to risk | velocity/count signal (C11) elevated
txn_3538156,10296.0,0,0.37628865979381443,BLOCK,card2 contributed to risk | card1 contributed to risk | velocity/count signal (C13) elevated
txn_3567011,5099.600067138672,0,0.008030488634816932,APPROVE,card type (debit/credit) risk signal | velocity/count signal (C13) elevated | billing address risk signal
txn_3488630,5099.600067138672,0,0.0028625954198473282,APPROVE,card1 contributed to risk | velocity/count signal (C6) elevated | time-since-previous-activity signal (D4) unusual
txn_3537503,3083.8718872070312,1,0.6266666666666667,BLOCK,aggregate risk feature (V258) elevated | velocity/count signal (C1) elevated | velocity/count signal (C13) elevated
txn_3465738,595.1440010070801,0,0.014556962025316455,APPROVE,browser risk signal | purchaser email domain risk signal | card3 contributed to risk
txn_3564268,3872.0,0,0.004474861805738351,APPROVE,billing/shipping distance unusual | velocity/count signal (C9) elevated | card2 contributed to risk
txn_3473538,3163.600067138672,0,0.008030488634816932,APPROVE,time-since-previous-activity signal (D15) unusual | billing address risk signal | purchaser email domain risk signal
